Order ID,Date,Year,Quarter,Month,Region,State,City,Product Category,Product Subcategory,Product Name,Sales Channel,Customer Segment,Customer Age Group,Units Sold,Unit Price,Discount,Revenue,Cost,Profit,Payment Method,Shipping Type,Order Priority
30034,2024-02-20,2024,Q1,Feb,West,California,Los Angeles,Electronics,Laptop,UltraBook Pro,Distributor,Corporate,36-50,3,1007,0.05,2869.95,2119.44,750.51,Card,Same-Day,Low
30035,2024-06-10,2024,Q2,Jun,South,Georgia,Atlanta,Accessories,Headphones,SoundMax,Distributor,Small Business,26-35,5,728,0.05,3458.0,2265.25,1192.75,Card,Standard,Medium
30036,2024-06-14,2024,Q2,Jun,West,Washington,Seattle,Electronics,Phone,Galaxy Max,Retail,Small Business,18-25,7,874,0.15,5200.3,3811.39,1388.91,Card,Standard,Medium
30037,2024-08-22,2024,Q3,Aug,West,Colorado,Denver,Electronics,Tablet,Tab Elite,Online,Consumer,26-35,15,148,0.15,1887.0,1251.71,635.29,Digital Wallet,Same-Day,High
30038,2024-09-27,2024,Q3,Sep,South,Georgia,Atlanta,Electronics,Tablet,Tab Elite,Online,Corporate,50+,8,52,0.05,395.2,279.62,115.58,Digital Wallet,Same-Day,Critical
30039,2024-01-04,2024,Q1,Jan,Northeast,Pennsylvania,Philadelphia,Electronics,Tablet,Tab Elite,Distributor,Consumer,36-50,13,1097,0.15,12121.85,8168.88,3952.97,Cash,Express,Low
30040,2024-03-28,2024,Q1,Mar,Northeast,New York,New York,Furniture,Cabinet,StoragePlus,Distributor,Small Business,18-25,5,998,0.1,4491.0,2657.05,1833.95,Digital Wallet,Express,High
30041,2024-06-18,2024,Q2,Jun,West,Colorado,Denver,Furniture,Cabinet,StoragePlus,Online,Corporate,36-50,4,252,0.1,907.2,610.84,296.36,Bank Transfer,Same-Day,Critical
30042,2024-03-25,2024,Q1,Mar,South,Florida,Miami,Accessories,Mouse,ClickPro,Distributor,Small Business,26-35,9,418,0.05,3573.9,2468.36,1105.54,Cash,Standard,Critical
30043,2024-10-28,2024,Q4,Oct,Northeast,New York,New York,Accessories,Mouse,ClickPro,Distributor,Corporate,36-50,2,709,0.15,1205.3,680.39,524.91,Cash,Express,High
30044,2024-08-09,2024,Q3,Aug,Midwest,Michigan,Detroit,Furniture,Desk,WorkDesk Pro,Distributor,Consumer,26-35,10,969,0.0,9690.0,5522.45,4167.55,Card,Same-Day,Critical
30045,2024-11-06,2024,Q4,Nov,South,Florida,Miami,Accessories,Mouse,ClickPro,Distributor,Small Business,50+,14,425,0.05,5652.5,3233.15,2419.35,Digital Wallet,Standard,Medium
30046,2024-07-18,2024,Q3,Jul,South,Georgia,Atlanta,Electronics,Laptop,UltraBook Pro,Distributor,Consumer,50+,7,666,0.0,4662.0,3138.72,1523.28,Card,Same-Day,High
30047,2024-02-04,2024,Q1,Feb,Northeast,Pennsylvania,Philadelphia,Accessories,Mouse,ClickPro,Distributor,Corporate,18-25,11,517,0.1,5118.3,2895.59,2222.71,Card,Standard,Critical
30048,2024-05-28,2024,Q2,May,South,Florida,Miami,Electronics,Tablet,Tab Elite,Online,Small Business,18-25,9,321,0.15,2455.65,1796.89,658.76,Digital Wallet,Same-Day,Medium
30049,2024-08-02,2024,Q3,Aug,Midwest,Illinois,Chicago,Accessories,Headphones,SoundMax,Online,Corporate,18-25,15,537,0.1,7249.5,4501.74,2747.76,Bank Transfer,Same-Day,Critical
30050,2024-02-27,2024,Q1,Feb,Northeast,Massachusetts,Boston,Furniture,Desk,WorkDesk Pro,Distributor,Consumer,26-35,14,359,0.15,4272.1,2622.36,1649.74,Cash,Same-Day,Critical
30051,2024-09-29,2024,Q3,Sep,Midwest,Michigan,Detroit,Furniture,Chair,ComfortSeat,Distributor,Small Business,50+,10,1197,0.15,10174.5,5923.02,4251.48,Digital Wallet,Express,Medium
30052,2024-06-23,2024,Q2,Jun,South,Florida,Miami,Furniture,Desk,WorkDesk Pro,Online,Small Business,18-25,15,745,0.1,10057.5,7322.44,2735.06,Bank Transfer,Same-Day,Low
30053,2024-01-11,2024,Q1,Jan,South,Georgia,Atlanta,Furniture,Desk,WorkDesk Pro,Retail,Small Business,50+,5,751,0.15,3191.75,2382.31,809.44,Cash,Express,Critical
30054,2024-03-19,2024,Q1,Mar,South,Georgia,Atlanta,Accessories,Keyboard,KeyPro,Online,Consumer,26-35,10,165,0.05,1567.5,1046.03,521.47,Cash,Standard,Medium
30055,2024-03-18,2024,Q1,Mar,South,Texas,Dallas,Electronics,Phone,Galaxy Max,Online,Small Business,36-50,13,922,0.15,10188.1,5751.76,4436.34,Card,Same-Day,High
30056,2024-03-10,2024,Q1,Mar,West,California,Los Angeles,Accessories,Headphones,SoundMax,Retail,Consumer,36-50,8,584,0.15,3971.2,2784.67,1186.53,Cash,Same-Day,Critical
30057,2024-08-23,2024,Q3,Aug,Northeast,Massachusetts,Boston,Accessories,Mouse,ClickPro,Retail,Consumer,50+,2,31,0.05,58.9,38.43,20.47,Cash,Express,High
30058,2024-03-12,2024,Q1,Mar,South,Texas,Dallas,Accessories,Headphones,SoundMax,Retail,Consumer,36-50,6,1034,0.1,5583.6,4091.69,1491.91,Card,Standard,High
30059,2024-05-09,2024,Q2,May,South,Texas,Dallas,Accessories,Mouse,ClickPro,Retail,Small Business,18-25,4,944,0.05,3587.2,2440.51,1146.69,Bank Transfer,Standard,Low
30060,2024-10-23,2024,Q4,Oct,South,Georgia,Atlanta,Accessories,Headphones,SoundMax,Retail,Small Business,36-50,14,372,0.05,4947.6,3175.66,1771.94,Cash,Same-Day,High
30061,2024-07-07,2024,Q3,Jul,Midwest,Ohio,Columbus,Electronics,Laptop,UltraBook Pro,Distributor,Corporate,26-35,7,886,0.15,5271.7,3656.71,1614.99,Card,Express,Medium
30062,2024-05-30,2024,Q2,May,Northeast,Pennsylvania,Philadelphia,Furniture,Chair,ComfortSeat,Distributor,Consumer,50+,3,467,0.05,1330.95,942.65,388.3,Digital Wallet,Express,Medium
30063,2024-06-12,2024,Q2,Jun,West,Washington,Seattle,Accessories,Headphones,SoundMax,Online,Small Business,26-35,8,612,0.05,4651.2,3150.22,1500.98,Card,Standard,Low
30064,2024-03-13,2024,Q1,Mar,South,Georgia,Atlanta,Furniture,Chair,ComfortSeat,Online,Corporate,50+,15,334,0.15,4258.5,2353.87,1904.63,Digital Wallet,Standard,Low
30065,2024-03-26,2024,Q1,Mar,West,Colorado,Denver,Furniture,Desk,WorkDesk Pro,Distributor,Small Business,26-35,15,647,0.0,9705.0,7183.68,2521.32,Card,Same-Day,Medium
30066,2024-02-03,2024,Q1,Feb,South,Georgia,Atlanta,Furniture,Cabinet,StoragePlus,Online,Consumer,26-35,1,540,0.05,513.0,354.21,158.79,Card,Express,High
30067,2024-10-01,2024,Q4,Oct,West,Washington,Seattle,Electronics,Tablet,Tab Elite,Distributor,Consumer,36-50,10,691,0.15,5873.5,3365.23,2508.27,Bank Transfer,Standard,Critical
30068,2024-11-30,2024,Q4,Nov,West,Washington,Seattle,Accessories,Mouse,ClickPro,Distributor,Small Business,26-35,8,1054,0.15,7167.2,4158.92,3008.28,Bank Transfer,Standard,Low
30069,2024-11-24,2024,Q4,Nov,South,Texas,Dallas,Furniture,Chair,ComfortSeat,Distributor,Corporate,36-50,14,541,0.05,7195.3,4158.63,3036.67,Bank Transfer,Same-Day,Medium
30070,2024-05-29,2024,Q2,May,Midwest,Michigan,Detroit,Furniture,Desk,WorkDesk Pro,Retail,Small Business,36-50,13,653,0.15,7215.65,5174.12,2041.53,Bank Transfer,Express,High
30071,2024-12-08,2024,Q4,Dec,Northeast,New York,New York,Accessories,Mouse,ClickPro,Retail,Small Business,18-25,8,276,0.05,2097.6,1286.92,810.68,Cash,Standard,High
30072,2024-05-16,2024,Q2,May,South,Texas,Dallas,Electronics,Phone,Galaxy Max,Online,Small Business,26-35,2,621,0.0,1242.0,929.45,312.55,Digital Wallet,Express,Medium
30073,2024-01-09,2024,Q1,Jan,Midwest,Michigan,Detroit,Electronics,Laptop,UltraBook Pro,Online,Corporate,50+,4,732,0.05,2781.6,2005.44,776.16,Cash,Express,High
30074,2024-04-05,2024,Q2,Apr,West,California,Los Angeles,Furniture,Chair,ComfortSeat,Online,Corporate,26-35,7,1047,0.1,6596.1,3994.92,2601.18,Bank Transfer,Standard,Low
30075,2024-05-19,2024,Q2,May,Midwest,Illinois,Chicago,Furniture,Chair,ComfortSeat,Online,Corporate,26-35,15,746,0.15,9511.5,7039.42,2472.08,Bank Transfer,Standard,Low
30076,2024-01-18,2024,Q1,Jan,Northeast,Massachusetts,Boston,Electronics,Laptop,UltraBook Pro,Online,Consumer,26-35,8,93,0.0,744.0,531.1,212.9,Bank Transfer,Standard,Medium
30077,2024-09-06,2024,Q3,Sep,Northeast,Massachusetts,Boston,Accessories,Mouse,ClickPro,Online,Corporate,36-50,10,243,0.15,2065.5,1466.33,599.17,Card,Express,High
30078,2024-01-30,2024,Q1,Jan,Midwest,Michigan,Detroit,Accessories,Keyboard,KeyPro,Online,Corporate,18-25,12,757,0.05,8629.8,5246.94,3382.86,Cash,Same-Day,Critical
30079,2024-04-18,2024,Q2,Apr,South,Texas,Dallas,Electronics,Laptop,UltraBook Pro,Distributor,Consumer,50+,11,884,0.05,9237.8,6558.19,2679.61,Cash,Standard,Low
30080,2024-04-05,2024,Q2,Apr,Northeast,New York,New York,Furniture,Desk,WorkDesk Pro,Online,Corporate,36-50,8,730,0.05,5548.0,3921.98,1626.02,Bank Transfer,Express,Medium
30081,2024-05-14,2024,Q2,May,Northeast,Massachusetts,Boston,Electronics,Laptop,UltraBook Pro,Distributor,Consumer,36-50,9,358,0.1,2899.8,1879.23,1020.57,Cash,Standard,Low
30082,2024-10-17,2024,Q4,Oct,Midwest,Michigan,Detroit,Furniture,Desk,WorkDesk Pro,Retail,Small Business,36-50,6,517,0.15,2636.7,1904.92,731.78,Digital Wallet,Express,High
30083,2024-08-22,2024,Q3,Aug,South,Florida,Miami,Electronics,Phone,Galaxy Max,Distributor,Consumer,26-35,9,269,0.15,2057.85,1141.41,916.44,Bank Transfer,Standard,High
30084,2024-04-21,2024,Q2,Apr,Midwest,Ohio,Columbus,Electronics,Tablet,Tab Elite,Retail,Corporate,36-50,4,639,0.1,2300.4,1599.47,700.93,Cash,Express,High
30085,2024-11-05,2024,Q4,Nov,Midwest,Illinois,Chicago,Furniture,Desk,WorkDesk Pro,Retail,Small Business,50+,10,529,0.05,5025.5,3080.97,1944.53,Bank Transfer,Standard,High
30086,2024-02-16,2024,Q1,Feb,Northeast,Pennsylvania,Philadelphia,Electronics,Phone,Galaxy Max,Retail,Corporate,36-50,11,1132,0.0,12452.0,7126.97,5325.03,Digital Wallet,Same-Day,High
30087,2024-01-12,2024,Q1,Jan,South,Georgia,Atlanta,Furniture,Chair,ComfortSeat,Retail,Consumer,18-25,11,37,0.1,366.3,219.09,147.21,Bank Transfer,Standard,Medium
30088,2024-01-04,2024,Q1,Jan,Midwest,Ohio,Columbus,Accessories,Headphones,SoundMax,Distributor,Corporate,18-25,2,287,0.15,487.9,337.62,150.28,Digital Wallet,Express,Critical
30089,2024-01-26,2024,Q1,Jan,West,Colorado,Denver,Accessories,Keyboard,KeyPro,Distributor,Corporate,26-35,8,772,0.1,5558.4,3779.41,1778.99,Card,Express,Low
30090,2024-04-28,2024,Q2,Apr,West,California,Los Angeles,Furniture,Cabinet,StoragePlus,Distributor,Small Business,26-35,2,63,0.0,126.0,84.6,41.4,Card,Same-Day,Medium
30091,2024-10-17,2024,Q4,Oct,West,Washington,Seattle,Accessories,Mouse,ClickPro,Online,Small Business,26-35,9,467,0.1,3782.7,2474.55,1308.15,Digital Wallet,Express,High
30092,2024-05-09,2024,Q2,May,West,Washington,Seattle,Electronics,Tablet,Tab Elite,Retail,Consumer,26-35,9,888,0.1,7192.8,5342.12,1850.68,Card,Same-Day,Low
30093,2024-01-08,2024,Q1,Jan,South,Georgia,Atlanta,Electronics,Laptop,UltraBook Pro,Retail,Small Business,50+,4,440,0.0,1760.0,1112.52,647.48,Bank Transfer,Express,Low
30094,2024-02-29,2024,Q1,Feb,Midwest,Michigan,Detroit,Accessories,Mouse,ClickPro,Online,Consumer,18-25,15,582,0.15,7420.5,4554.7,2865.8,Cash,Express,Medium
30095,2024-02-03,2024,Q1,Feb,Northeast,Massachusetts,Boston,Accessories,Mouse,ClickPro,Distributor,Small Business,36-50,15,519,0.05,7395.75,4642.53,2753.22,Bank Transfer,Express,Critical
30096,2024-07-30,2024,Q3,Jul,West,California,Los Angeles,Accessories,Keyboard,KeyPro,Distributor,Consumer,50+,15,698,0.05,9946.5,6781.36,3165.14,Cash,Same-Day,Low
30097,2024-02-11,2024,Q1,Feb,West,Colorado,Denver,Accessories,Headphones,SoundMax,Retail,Consumer,36-50,9,913,0.0,8217.0,5903.39,2313.61,Bank Transfer,Standard,Medium
30098,2024-03-31,2024,Q1,Mar,Northeast,Massachusetts,Boston,Electronics,Phone,Galaxy Max,Retail,Small Business,36-50,12,110,0.05,1254.0,690.76,563.24,Bank Transfer,Same-Day,Critical
30099,2024-04-07,2024,Q2,Apr,South,Texas,Dallas,Electronics,Laptop,UltraBook Pro,Retail,Corporate,18-25,9,63,0.05,538.65,299.13,239.52,Bank Transfer,Standard,Critical
30100,2024-03-25,2024,Q1,Mar,West,Colorado,Denver,Accessories,Headphones,SoundMax,Online,Consumer,18-25,11,506,0.1,5009.4,2823.44,2185.96,Bank Transfer,Standard,Medium
30101,2024-01-16,2024,Q1,Jan,Midwest,Ohio,Columbus,Furniture,Cabinet,StoragePlus,Online,Small Business,36-50,15,109,0.05,1553.25,918.8,634.45,Digital Wallet,Same-Day,Critical
30102,2024-04-28,2024,Q2,Apr,South,Georgia,Atlanta,Electronics,Tablet,Tab Elite,Online,Corporate,18-25,1,33,0.0,33.0,24.36,8.64,Bank Transfer,Standard,Critical
30103,2024-03-14,2024,Q1,Mar,Northeast,Pennsylvania,Philadelphia,Accessories,Keyboard,KeyPro,Distributor,Corporate,26-35,1,796,0.05,756.2,451.13,305.07,Cash,Express,Low
30104,2024-11-27,2024,Q4,Nov,South,Florida,Miami,Furniture,Chair,ComfortSeat,Online,Small Business,36-50,3,279,0.0,837.0,479.15,357.85,Digital Wallet,Standard,Critical
30105,2024-11-16,2024,Q4,Nov,Northeast,New York,New York,Furniture,Desk,WorkDesk Pro,Online,Small Business,36-50,14,1108,0.15,13185.2,7828.35,5356.85,Card,Express,Critical
30106,2024-08-30,2024,Q3,Aug,Midwest,Illinois,Chicago,Accessories,Keyboard,KeyPro,Retail,Corporate,26-35,11,635,0.0,6985.0,4109.62,2875.38,Card,Standard,Medium
30107,2024-01-20,2024,Q1,Jan,Northeast,New York,New York,Electronics,Phone,Galaxy Max,Online,Consumer,50+,2,404,0.15,686.8,410.15,276.65,Cash,Express,High
30108,2024-06-03,2024,Q2,Jun,Northeast,Pennsylvania,Philadelphia,Furniture,Chair,ComfortSeat,Distributor,Consumer,18-25,9,271,0.1,2195.1,1586.43,608.67,Card,Same-Day,Medium
30109,2024-04-05,2024,Q2,Apr,West,California,Los Angeles,Electronics,Phone,Galaxy Max,Retail,Consumer,26-35,5,436,0.05,2071.0,1377.51,693.49,Card,Same-Day,Medium
30110,2024-12-11,2024,Q4,Dec,Midwest,Ohio,Columbus,Furniture,Desk,WorkDesk Pro,Online,Small Business,18-25,3,180,0.0,540.0,320.44,219.56,Bank Transfer,Standard,Critical
30111,2024-12-26,2024,Q4,Dec,Midwest,Michigan,Detroit,Accessories,Keyboard,KeyPro,Online,Corporate,18-25,12,1136,0.0,13632.0,7894.95,5737.05,Card,Same-Day,Critical
30112,2024-09-23,2024,Q3,Sep,West,Washington,Seattle,Accessories,Keyboard,KeyPro,Online,Consumer,50+,15,625,0.05,8906.25,6628.25,2278.0,Bank Transfer,Standard,Critical
30113,2024-01-21,2024,Q1,Jan,South,Florida,Miami,Accessories,Mouse,ClickPro,Online,Consumer,26-35,9,456,0.1,3693.6,2535.08,1158.52,Card,Standard,Low
30114,2024-12-15,2024,Q4,Dec,Midwest,Illinois,Chicago,Furniture,Desk,WorkDesk Pro,Retail,Consumer,50+,1,144,0.15,122.4,69.89,52.51,Card,Standard,High
30115,2024-03-02,2024,Q1,Mar,Northeast,Pennsylvania,Philadelphia,Accessories,Mouse,ClickPro,Online,Small Business,26-35,14,78,0.05,1037.4,773.0,264.4,Bank Transfer,Express,High
30116,2024-12-15,2024,Q4,Dec,Northeast,Pennsylvania,Philadelphia,Accessories,Headphones,SoundMax,Retail,Small Business,26-35,2,105,0.1,189.0,133.95,55.05,Cash,Same-Day,Medium
30117,2024-08-23,2024,Q3,Aug,South,Texas,Dallas,Furniture,Chair,ComfortSeat,Distributor,Consumer,18-25,13,39,0.05,481.65,279.74,201.91,Bank Transfer,Same-Day,Medium
30118,2024-03-25,2024,Q1,Mar,Midwest,Michigan,Detroit,Furniture,Cabinet,StoragePlus,Distributor,Corporate,50+,8,332,0.15,2257.6,1379.79,877.81,Digital Wallet,Express,Medium
30119,2024-05-08,2024,Q2,May,Northeast,New York,New York,Electronics,Laptop,UltraBook Pro,Retail,Consumer,36-50,4,340,0.0,1360.0,871.17,488.83,Card,Same-Day,Critical
30120,2024-07-25,2024,Q3,Jul,Midwest,Ohio,Columbus,Accessories,Headphones,SoundMax,Distributor,Small Business,36-50,1,1136,0.0,1136.0,650.69,485.31,Card,Standard,High
30121,2024-05-04,2024,Q2,May,Northeast,Massachusetts,Boston,Accessories,Mouse,ClickPro,Retail,Corporate,26-35,9,331,0.15,2532.15,1528.52,1003.63,Bank Transfer,Same-Day,Low
30122,2024-11-25,2024,Q4,Nov,South,Florida,Miami,Electronics,Phone,Galaxy Max,Distributor,Small Business,50+,5,992,0.05,4712.0,3255.29,1456.71,Digital Wallet,Same-Day,Low
30123,2024-06-09,2024,Q2,Jun,West,Colorado,Denver,Accessories,Keyboard,KeyPro,Distributor,Small Business,36-50,13,819,0.15,9049.95,5779.34,3270.61,Bank Transfer,Standard,High
30124,2024-07-10,2024,Q3,Jul,Northeast,Massachusetts,Boston,Accessories,Headphones,SoundMax,Retail,Consumer,26-35,7,114,0.0,798.0,533.7,264.3,Cash,Standard,Critical
30125,2024-10-01,2024,Q4,Oct,South,Georgia,Atlanta,Electronics,Tablet,Tab Elite,Online,Small Business,36-50,8,344,0.15,2339.2,1596.69,742.51,Cash,Express,Critical
30126,2024-08-18,2024,Q3,Aug,Northeast,Pennsylvania,Philadelphia,Accessories,Keyboard,KeyPro,Distributor,Small Business,18-25,4,527,0.1,1897.2,1306.19,591.01,Cash,Same-Day,Critical
30127,2024-04-14,2024,Q2,Apr,Northeast,Massachusetts,Boston,Electronics,Tablet,Tab Elite,Online,Small Business,26-35,15,781,0.15,9957.75,6112.12,3845.63,Cash,Same-Day,High
30128,2024-08-13,2024,Q3,Aug,Midwest,Illinois,Chicago,Accessories,Mouse,ClickPro,Distributor,Small Business,18-25,8,944,0.15,6419.2,4418.37,2000.83,Digital Wallet,Express,Critical
30129,2024-12-08,2024,Q4,Dec,Northeast,Massachusetts,Boston,Electronics,Phone,Galaxy Max,Retail,Consumer,36-50,13,727,0.15,8033.35,5285.52,2747.83,Cash,Same-Day,Critical
30130,2024-04-02,2024,Q2,Apr,West,Washington,Seattle,Furniture,Desk,WorkDesk Pro,Distributor,Corporate,50+,1,905,0.1,814.5,514.43,300.07,Card,Same-Day,Medium
30131,2024-04-15,2024,Q2,Apr,West,Colorado,Denver,Electronics,Phone,Galaxy Max,Retail,Corporate,18-25,15,280,0.05,3990.0,2731.47,1258.53,Cash,Express,Medium
30132,2024-09-06,2024,Q3,Sep,South,Georgia,Atlanta,Furniture,Cabinet,StoragePlus,Retail,Small Business,18-25,8,147,0.1,1058.4,704.57,353.83,Bank Transfer,Standard,Low
30133,2024-02-20,2024,Q1,Feb,Midwest,Ohio,Columbus,Electronics,Phone,Galaxy Max,Retail,Corporate,26-35,6,1025,0.1,5535.0,3986.21,1548.79,Digital Wallet,Standard,Low
30134,2024-02-18,2024,Q1,Feb,West,Washington,Seattle,Accessories,Keyboard,KeyPro,Distributor,Corporate,18-25,13,285,0.1,3334.5,2448.42,886.08,Digital Wallet,Standard,Critical
30135,2024-11-22,2024,Q4,Nov,Northeast,Massachusetts,Boston,Furniture,Cabinet,StoragePlus,Online,Consumer,50+,8,39,0.1,280.8,157.67,123.13,Digital Wallet,Same-Day,Low
30136,2024-11-01,2024,Q4,Nov,Northeast,Massachusetts,Boston,Accessories,Headphones,SoundMax,Retail,Small Business,26-35,10,1090,0.0,10900.0,6730.86,4169.14,Digital Wallet,Standard,Medium
30137,2024-08-28,2024,Q3,Aug,Midwest,Illinois,Chicago,Accessories,Headphones,SoundMax,Retail,Small Business,18-25,7,873,0.0,6111.0,4573.13,1537.87,Cash,Standard,High
